N;Tiempo
100;0.00000
200;0.00100
300;0.00000
400;0.00100
500;0.00000
600;0.00100
700;0.00100
800;0.00100
900;0.00100
1000;0.00100
1100;0.00100
1200;0.00100
1300;0.00200
1400;0.00200
1500;0.00100
1600;0.00200
1700;0.00300
1800;0.00200
1900;0.00200
2000;0.00300
2100;0.00300
2200;0.00300
2300;0.00400
2400;0.00400
2500;0.00400
2600;0.00300
2700;0.00400
2800;0.00400
2900;0.00400
3000;0.00400
3100;0.00500
3200;0.00500
3300;0.00600
3400;0.00600
3500;0.00600
3600;0.00700
3700;0.00700
3800;0.00600
3900;0.00700
4000;0.00700
4100;0.00700
4200;0.00700
4300;0.00900
4400;0.00900
4500;0.00900
4600;0.00800
4700;0.00900
4800;0.01000
4900;0.01000
5000;0.01000
5100;0.01000
5200;0.01000
5300;0.01100
5400;0.01100
5500;0.01200
5600;0.01100
5700;0.01200
5800;0.01300
5900;0.01300
6000;0.01300
6100;0.01500
6200;0.01400
6300;0.01400
6400;0.01500
6500;0.01500
6600;0.01500
6700;0.01500
6800;0.01651
6900;0.01651
7000;0.01700
7100;0.01599
7200;0.01701
7300;0.01701
7400;0.01801
7500;0.01801
7600;0.01863
7700;0.02000
7800;0.01900
7900;0.02000
8000;0.02100
8100;0.02100
8200;0.02100
8300;0.02201
8400;0.02200
8500;0.02300
8600;0.02400
8700;0.02301
8800;0.02400
8900;0.02501
9000;0.02601
9100;0.02601
9200;0.02701
9300;0.02601
9400;0.02801
9500;0.02901
9600;0.02801
9700;0.02801
9800;0.03001
9900;0.02901
10000;0.03001
10100;0.03101
10200;0.03101
10300;0.03201
10400;0.03301
10500;0.03301
10600;0.03301
10700;0.03400
10800;0.03401
10900;0.03601
11000;0.03601
11100;0.03601
11200;0.03601
11300;0.03701
11400;0.03701
11500;0.03801
11600;0.03901
11700;0.03905
11800;0.04006
11900;0.04005
12000;0.04104
12100;0.04203
12200;0.04305
12300;0.04204
12400;0.04307
12500;0.04405
12600;0.04404
12700;0.04602
12800;0.04702
12900;0.04502
13000;0.04802
13100;0.04902
13200;0.04802
13300;0.05002
13400;0.05129
13500;0.04954
13600;0.05101
13700;0.05201
13800;0.05101
13900;0.05401
14000;0.05501
14100;0.05439
14200;0.05600
14300;0.05700
14400;0.05600
14500;0.05700
14600;0.05800
14700;0.05800
14800;0.06000
14900;0.06100
15000;0.05900
