N;Tiempo
100;0.00100
200;0.00000
300;0.00200
400;0.00301
500;0.00399
600;0.00601
700;0.00799
800;0.01000
900;0.01401
1000;0.01583
1100;0.02030
1200;0.02401
1300;0.02801
1400;0.03201
1500;0.03701
1600;0.04101
1700;0.04683
1800;0.05326
1900;0.05802
2000;0.06502
2100;0.07202
2200;0.07902
2300;0.08602
2400;0.10502
2500;0.10102
2600;0.11002
2700;0.12002
2800;0.12703
2900;0.13603
3000;0.14703
3100;0.15503
3200;0.16504
3300;0.17704
3400;0.18704
3500;0.19704
3600;0.21105
3700;0.22405
3800;0.23505
3900;0.30107
4000;0.26506
4100;0.27406
4200;0.29006
4300;0.29806
4400;0.31607
4500;0.33907
4600;0.34608
4700;0.36108
4800;0.38408
4900;0.38708
5000;0.40409
5100;0.42309
5200;0.43509
5300;0.45110
5400;0.47510
5500;0.48911
5600;0.51011
5700;0.53211
5800;0.54614
5900;0.57299
6000;0.58728
6100;0.59839
6200;0.61918
6300;0.64714
6400;0.71666
6500;0.69615
6600;0.71578
6700;0.73213
6800;0.81518
6900;0.82318
7000;0.83218
7100;0.83618
7200;0.86135
7300;0.86719
7400;0.89696
7500;0.94020
7600;0.95721
7700;0.96521
7800;0.99922
7900;1.03422
8000;1.08323
8100;1.12224
8200;1.11724
8300;1.12279
8400;1.16421
8500;1.17767
8600;1.20719
8700;1.24727
8800;1.28228
8900;1.30101
9000;1.32782
9100;1.34778
9200;1.40730
9300;1.42031
9400;1.43331
9500;1.48132
9600;1.51733
9700;1.52633
9800;1.56134
9900;1.62436
10000;1.63936
10100;1.67437
10200;1.71438
10300;1.77294
10400;1.77812
10500;1.85703
10600;1.86541
10700;1.88296
10800;1.93948
10900;1.94643
11000;1.98043
11100;2.04245
11200;2.03945
11300;2.08546
11400;2.14847
11500;2.17048
11600;2.20448
11700;2.26602
11800;2.30230
11900;2.33175
12000;2.37752
12100;2.40183
12200;2.43790
12300;2.49555
12400;2.51355
12500;2.56556
12600;2.62658
12700;2.65358
12800;2.69859
12900;2.78223
13000;2.81509
13100;2.83062
13200;2.90360
13300;2.90964
13400;2.95165
13500;3.02566
13600;3.02866
13700;3.09368
13800;3.14027
13900;3.18488
14000;3.23171
14100;3.30140
14200;3.32173
14300;3.38374
14400;3.42575
14500;3.46976
14600;3.49377
14700;3.57011
14800;3.59033
14900;3.67373
15000;3.73082
