N;Tiempo
100;0.00100
200;0.00100
300;0.00300
400;0.00500
500;0.00900
600;0.01400
700;0.01800
800;0.02501
900;0.03101
1000;0.03801
1100;0.04601
1200;0.05501
1300;0.06601
1400;0.07602
1500;0.08802
1600;0.10102
1700;0.11803
1800;0.12803
1900;0.14503
2000;0.16404
2100;0.18304
2200;0.19104
2300;0.21005
2400;0.22505
2500;0.24706
2600;0.26906
2700;0.29007
2800;0.31207
2900;0.33407
3000;0.35608
3100;0.39209
3200;0.41809
3300;0.43310
3400;0.47711
3500;0.48668
3600;0.51397
3700;0.55012
3800;0.57813
3900;0.61481
4000;0.64014
4100;0.66215
4200;0.70052
4300;0.73339
4400;0.78081
4500;0.80487
4600;0.83940
4700;0.87620
4800;0.92647
4900;0.97922
5000;1.00095
5100;1.05024
5200;1.09975
5300;1.13526
5400;1.18227
5500;1.20434
5600;1.25825
5700;1.29576
5800;1.37847
5900;1.40959
6000;1.54035
6100;1.53335
6200;1.57736
6300;1.62137
6400;1.65287
6500;1.71377
6600;1.76720
6700;1.85507
6800;1.88743
6900;1.93328
7000;2.01396
7100;2.05481
7200;2.12839
7300;2.15197
7400;2.29352
7500;2.29151
7600;2.31307
7700;2.38683
7800;2.51107
7900;2.49411
8000;2.55627
8100;2.72162
8200;2.70238
8300;2.78352
8400;2.95769
8500;2.93530
8600;2.99865
8700;3.03651
8800;3.17899
8900;3.21599
9000;3.39978
9100;3.34637
9200;3.45430
9300;3.52744
9400;3.55477
9500;3.73841
9600;3.79199
9700;3.83110
9800;3.93259
9900;3.98802
10000;4.07937
10100;4.11752
10200;4.27630
10300;4.30801
10400;4.37223
10500;4.49232
10600;4.58529
10700;4.58640
10800;4.76180
10900;4.79827
11000;4.92079
11100;5.03707
11200;5.09068
11300;5.19578
11400;5.31322
11500;5.33530
11600;5.46699
11700;5.55610
11800;5.63797
11900;5.69604
12000;5.81097
12100;5.90982
12200;5.98214
12300;6.16794
12400;6.24382
12500;6.29542
12600;6.41860
12700;6.64970
12800;6.74935
12900;6.89813
13000;6.92714
13100;6.95650
13200;7.10119
13300;7.15452
13400;7.41069
13500;7.66372
13600;7.77262
13700;8.04612
13800;7.85354
13900;7.97523
14000;8.06962
14100;8.13974
14200;8.17975
14300;8.34423
14400;8.38108
14500;8.49189
14600;8.79200
14700;8.86554
14800;9.17080
14900;9.09177
15000;9.17354
